Country Name	Country Code	2005	2006	2007	2008	2009	pctchange
Cayman Islands	CYM	44403	52818.5	53528.5	54248.044	54977.26031	23.81429252
Central African Republic	CAF	1562665.404	1598474.488	1635694.233	1674087.665	1713236.598	9.635536399
Chad	TCD	2534703.776	2660031.438	2785330.148	2911766.356	3041349.653	19.98836636
Channel Islands	CHI	45635.243	45944.1984	46249.4224	46549.6072	46843.11	2.646785512
Chile	CHL	14276603.87	14471424.57	14666416.62	14861415.15	15056019.11	5.459388292
China	CHN	526702880	541451260	556147470	570926305	585842400	11.22825074
Colombia	COL	31684244.32	32297615.15	32914708.19	33534011.52	34153462.33	7.793204683
Comoros	COM	167536.5819	171564.2313	176080.499	180714.8246	185470.2759	10.70434516
"Congo, Dem. Rep."	COD	18963637.39	19893694.23	20845097.19	21821553.25	22829842.22	20.38746441
"Congo, Rep."	COG	2056825.708	2111863.023	2164753.608	2217534.237	2273259.93	10.52273032
Costa Rica	CRI	2670599.354	2735017.606	2797439.827	2858799.108	2920451.121	9.355643954
Cote d'Ivoire	CIV	9006597.288	9337000.861	9683089.435	10044437.12	10419484.94	15.68725248
Croatia	HRV	2509730	2520144	2529407.2	2539795.2	2550173.319	1.611460948
Cuba	CUB	8462053.152	8470284.675	8475036.903	8477502.501	8479323.424	0.2040908
Cyprus	CYP	579346.614	587300.715	595108.358	602841.366	610596.236	5.393942287
Czech Republic	CZE	7523333.58	7547813.49	7595607.6	7661886.96	7728744.674	2.730320174
Denmark	DNK	4652325.102	4684753.555	4719774.72	4761870.683	4804298.877	3.266619838
Djibouti	DJI	693053.34	708868.365	724998.879	741390.885	757905.154	9.357405882
Dominica	DMA	52488	53022.55811	53561.40605	54104.57484	54652.09568	4.12302941
Dominican Republic	DOM	6368339.256	6533654.127	6700784.801	6869361.132	7038889.338	10.52943404
Ecuador	ECU	8307754.452	8484272.219	8661507.596	8841117.859	9025245.706	8.63640419
"Egypt, Arab Rep."	EGY	32867778.23	33515927.34	34169838.47	34828407.88	35490540.45	7.979736854
El Salvador	SLV	3623030.84	3655103.503	3688483.644	3723283.37	3759460.5	3.765622376
Equatorial Guinea	GNQ	236825.923	244278.8964	251874.762	259591.7786	267398.3442	12.90923764
Eritrea	ERI	867785.668	918780.8768	969621.0732	1020848.914	1073505.836	23.70633395
Estonia	EST	934193.4	932690.3274	931657.0368	931232.855	930808.7892	-0.362303014
Ethiopia	ETH	12020405.06	12566942.31	13133903.38	13721283.78	14328678.64	19.20295999
Faeroe Islands	FRO	19204.893	19463.4449	19777.744	20093.61175	20411.05436	6.280489891
Fiji	FJI	420647.368	427664.956	434781.5616	441942.4856	449066.4784	6.756041417
Finland	FIN	3273566.4	3301950.036	3331893.6	3363381.567	3395090.85	3.712295258
France	FRA	46689591	47192398.38	47779331.13	48177821.4	48579242.27	4.047264565
French Polynesia	PYF	131996.821	133790.2176	135520.7112	137208.5128	138879.9966	5.214652556
Gabon	GAB	1144675.444	1173431.41	1202343.419	1231514.414	1261065.947	10.16799162
"Gambia, The"	GMB	822588.382	859901.3542	897900.458	936684.84	976404.3912	18.69902524
Georgia	GEO	2343885.075	2319230.188	2294847.496	2271517.601	2250307.891	-3.992396445
Germany	DEU	60532539.6	60530216.19	60515143.24	60465875.43	60416576.43	-0.191571632
Ghana	GHA	10475450.3	10869726.27	11270812.04	11680133.69	12099793.68	15.50619145
Gibraltar	GIB	27921					-999999
Greece	GRC	6706816	6755966.76	6805199.904	6854627.34	6904339.556	2.945116664
Greenland	GRL	47142.18	47145.1296	47099.004	47045.1456	46990.96076	-0.320772686
Grenada	GRD	31365	31546.0964	31734.7844	31931.1192	32135.156	2.455463096
Guam	GUM	156937.739	159264.9984	161454.4644	163544.2432	165597.6324	5.518043942
Guatemala	GTM	5998996.336	6209420.275	6425833.643	6648720.982	6878814.809	14.66609452
Guinea	GIN	3042853.44	3151097.759	3265278.791	3386504.142	3515998.421	15.54938449
Guinea-Bissau	GNB	435897.296	447249.404	458613.504	470113.0864	481935.2032	10.56164092
Guyana	GUY	215401.188	215983.5498	216393.12	216663.4206	216854.4312	0.674668145
Haiti	HTI	4018066.157	4216009.119	4418751.096	4626106.697	4837728.882	20.39943328
Honduras	HND	3205101.315	3302272.751	3401971.972	3504236.173	3609063.433	12.60372383
"Hong Kong SAR, China"	HKG	6813200	6857100	6925900	6977700	7059372.026	3.613163064
Hungary	HUN	6687714.15	6717603.79	6747428.38	6775776.9	6804005.581	1.738881603
Iceland	ISL	273603.5	280147.7604	287388.4784	292846.1564	298407.4649	9.065660683
India	IND	314145321	321623270.5	329112675.4	336745640.8	344524677.6	9.670478774
Indonesia	IDN	105440150.5	109245600.3	113098674.1	116991779.2	120915451.4	14.67685776
"Iran, Islamic Rep."	IRN	46219250.14	47260012.81	48251693.81	49261297.83	50289124.93	8.805583781
Iraq	IRQ	19050888.5	19507483.34	19974976.67	20453627.43	20943700.64	9.935558316
Ireland	IRL	2516255.5	2589697.829	2660342.069	2714709.045	2770129.348	10.08935094
Isle of Man	IMN	41051.648	41095.3924	41051.3376	40948.0612	40825.0352	-0.552018764
Israel	ISR	6347971.6	6462599.94	6579843.64	6699246.08	6810376.462	7.284293176
Italy	ITA	39618365.8	39938759.72	40327696.29	40733747.46	41143659.83	3.849967055
Jamaica	JAM	1396760.8	1408779.9	1420849.8	1432277.6	1445335.468	3.477665469
Japan	JPN	84330180	84523369.6	84737561.4	84897619.2	85039304	0.84088994
Jordan	JOR	4237204.5	4338155.84	4482438.583	4631518.82	4785556.032	12.94135159
Kazakhstan	KAZ	8648937	8783787.78	8928189.72	9081998.24	9216311.604	6.560050145
Kenya	KEN	7414074.288	7722038.73	8041751.313	8373307.392	8716641.285	17.56884199
Kiribati	KIR	40113.744	40864.3872	41601.7568	42331.0272	43061.364	7.348154787
"Korea, Dem. Rep."	PRK	14493913.9	14642134.4	14787087.68	14929594.38	15070386.53	3.977342739
"Korea, Rep."	KOR	38895504	39130229.4	39365654.4	39595262.2	39796833.61	2.317310532
Kosovo	KSV						-999999
Kuwait	KWT	2492343.473	2555772.877	2618760.799	2683300.97	2749431.639	10.31511784
Kyrgyz Republic	KGZ	1841373	1867079.16	1890809.76	1914822.12	1939101.71	5.3073826
Lao PDR	LAO	1611087.12	1708873.606	1810641.07	1916209.301	2025065.452	25.69558942
Latvia	LVA	1564340	1556719.819	1549568.88	1543663.233	1537779.563	-1.697868577
Lebanon	LBN	3534660.404	3577977.011	3614671.58	3646891.957	3677869.952	4.05157871
Lesotho	LSO	464872.047	483671.524	502636.6424	521784.6234	541119.3942	16.40179221
Liberia	LBR	1937182.982	2040265.556	2156783.661	2281350.76	2405418.228	24.17093533
Libya	LBY	4560580.64	4665556.469	4772336.079	4880507.947	4989565.71	9.40636958
Liechtenstein	LIE	5033.82	5059.6316	5082.0358	5102.0728	5120.9086	1.730069808
Lithuania	LTU	2273923.8	2264531.51	2256263.071	2248593.804	2240943.408	-1.450373658
Luxembourg	LUX	385150.824	390776.2716	396282.2208	402843.06	409511.6526	6.32501013
"Macao SAR, China"	MAC	487624	499914	513076	526178	537972	10.32516857
"Macedonia, FYR"	MKD	1331094.048	1342951.717	1354452.432	1365657.798	1376634.216	3.42125848
Madagascar	MDG	5020064.385	5221608.608	5428753.707	5641549.783	5860033.958	16.73224701
Malawi	MWI	2362224.175	2499567.848	2642427.768	2791082.216	2945839.481	24.70617785
Malaysia	MYS	17328164.88	17880117.22	18440246.14	19007287.51	19579074.21	12.98988871
Maldives	MDV	99124.956	104431.1742	109882.3572	115483.2222	121234.674	22.30489565
Mali	MLI	3609018.03	3763883.413	3923670.149	4088705.845	4259542.427	18.02496943
Malta	MLT	377676	381291.9856	384670.62	388304.07	391969.7049	3.784647404
Marshall Islands	MHL	39054.16427	40114.5828	41240.83864	42411.42958	43596.67035	11.6312976
Mauritania	MRT	1206030.496	1243286.898	1280680.176	1318167.63	1355739.56	12.413373
Mauritius	MUS	525896.019	530765.2932	534785.5464	539009.1792	542522.4042	3.161534714
Mayotte	MYT						-999999
Mexico	MEX	78657008.15	79833562.42	80960716.36	82102534.8	83259199.41	5.850961499
"Micronesia, Fed. Sts."	FSM	24399.545	24573.4638	24733.6258	24887.3156	25046.6736	2.652215851
Moldova	MDA	1601474.154	1569584.474	1541803.968	1517294.894	1494734.289	-6.665100709
Monaco	MCO	32453	32533	32620	32715	32812	1.106215142
Mongolia	MNG	1445727.528	1467608.911	1489050.501	1510247.309	1531531.904	5.935030961
Montenegro	MNE	382266.828	378191.9518	375793.4932	374526.6192	373529.0592	-2.28577741
Morocco	MAR	16772245.05	17074034.15	17385598.92	17705466.08	18031024.85	7.505136
Mozambique	MOZ	7187860.755	7533502.805	7886091.937	8245725.157	8612833.403	19.82471136
Myanmar	MMR	14793699.13	15230911.4	15682118.84	16147631.59	16626573.21	12.38955897
Namibia	NAM	705169.179	730816.6704	757352.1046	784638.2136	812439.4654	15.21199304
Nepal	NPL	4301003.636	4519047.984	4740855.613	4966762.282	5197365.486	20.84076011
Netherlands	NLD	13088519.7	13197841.95	13315042.51	13455784.19	13597421.23	3.888151925
Netherlands Antilles	ANT	171348.469	174276.4032	177555.4556	180960.4804	184205.2212	7.50327813
New Caledonia	NCL	149308.341	152756.8354	156154.08	159815.499	163062.3092	9.211788242
New Zealand	NZL	3563421.8	3612146.72	3654942.52	3695159.84	3740935.44	4.981550037
Nicaragua	NIC	3049465.744	3103786.572	3158966.359	3215640.205	3274544.56	7.380926198
Niger	NER	2135615.405	2228313.906	2327391.986	2432094.197	2541214.952	18.99216247
Nigeria	NGA	65085901.65	67692976.99	70374686.01	73126246.03	75940940.19	16.67801823
Northern Mariana Islands	MNP	72822.508	74597.085	76234.34	77766.604	79248.24	8.823826831
Norway	NOR	3573810.9	3605499.727	3645826.253	3694410.658	3743640.255	4.752052075
Oman	OMN	1871750.595	1910157.347	1951486.256	1994875.548	2039024.389	8.936756555
Pakistan	PAK	54364428	56209990.81	58109988.7	60065913.74	62079297.09	14.19102412
Palau	PLW	15367.572	15680.59995	15996.55411	16316.27377	16640.41324	8.282643728
Panama	PAN	2287989.792	2353903.7	2420578.884	2487938.436	2555884.52	11.7087379
Papua New Guinea	PNG	770893.452	788720.4604	806675.2944	824733.4788	842866.3068	9.336290847
Paraguay	PRY	3453930.675	3555089.58	3657605.871	3761426.565	3866490.453	11.94464559
Peru	PER	19791344.1	20061299.18	20326546.95	20589403.8	20852891.35	5.363694567
Philippines	PHL	53605943.72	55255679.82	56939331.13	58654205.3	60396104.77	12.66680629
Poland	POL	23471751.75	23433994.44	23398399.73	23378715.42	23359025.31	-0.480264303
Portugal	PRT	6076483.2	6162205.077	6241944.314	6316086.77	6390415.017	5.166340577
Puerto Rico	PRI	3816850.032	3841881.323	3865489.728	3887609.178	3919193.998	2.681372469
Qatar	QAT	844708.806	955379.5636	1087045.647	1225016.417	1349099.696	59.71180672
Romania	ROU	11617645.95	11631434.44	11648239.54	11668988.57	11691392.22	0.63477806
Russian Federation	RUS	104356350	103854000	103534060	103396380	103258875.3	-1.051660677
Rwanda	RWA	1573624.5	1637537.467	1707488.84	1782775.28	1861555.727	18.2973274
Samoa	WSM	40088.384	40454.904	40800.144	41139.87	41492.272	3.501982021
San Marino	SMR	28075.676	28415.2176	28800.244	29213.8532	29633.39703	5.548293934
Sao Tome and Principe	STP	88673.382	91400.2392	94172.3438	97001.3744	99899.019	12.65953406
Saudi Arabia	SAU	18823484.91	19416656.18	19949206.57	20312974.34	20683297.35	9.880276932
Senegal	SEN	4693019.136	4848586.452	5009472.702	5175098.508	5344594.819	13.88393408
Serbia	SRB	3831996.035	3830298.859	3828086.869	3825055.008	3822353.84	-0.2516233
Seychelles	SYC	43854.1	45159.48	45798.2352	47251.8904	48226.28535	9.969843974
Sierra Leone	SLE	1879367.536	1956520.589	2029397.76	2099400.493	2169216.157	15.42266828
Singapore	SGP	4265800	4401400	4588600	4839400	4987600	16.9206245
Slovak Republic	SVK	3027494	3036441.549	3046246.279	3057987.666	3069760.49	1.396088302
Slovenia	SVN	990247.5	987379.056	986861.658	982359.576	986447.805	-0.383711648
Solomon Islands	SLB	80539.37	84162.0368	87889.536	91716.6912	95635.476	18.74375973
Somalia	SOM	2940609.056	3045001.054	3150710.895	3259894.255	3375602.63	14.79263534
South Africa	ZAF	27807209.8	28330354.75	28834831.82	29572483.8	30194010.1	8.583386513
Spain	ESP	33286381.05	33899073.26	34547811.86	35132568.18	35727104.34	7.33249821
Sri Lanka	LKA	2969868	3002786	3021510	3043586.855	3065825.016	3.231019562
St. Kitts and Nevis	KNA	15456	15601.9032	15749.36095	15898.18796	16048.39676	3.832794754
St. Lucia	LCA	45482.316	46180.7584	46730.6288	47384.94953	48048.03529	5.641135975
St. Vincent and the Grenadines	VCT	49900.644	50385.9616	50861.733	51328.6368	51786.9078	3.780038991
Sudan	SDN	15788976.58	16482383.09	17207985.18	17961450.87	18735143.19	18.65964271
Suriname	SUR	369321.901	375122.0992	380630.9628	385930.9008	391156.324	5.912030383
Swaziland	SWZ	270982.81	277130.3856	283934.9934	291257.7996	298840.8592	10.28037505
Sweden	SWE	7607265.72	7662130.119	7726478.503	7794281.12	7862671.688	3.357395117
Switzerland	CHE	5451394.3	5490213.982	5544030.101	5619511.59	5696016.955	4.487341058
Syrian Arab Republic	SYR	10172613.53	10491796.02	10820557.01	11159175.37	11507937.9	13.12665985
Tajikistan	TJK	1725382.032	1750871.894	1778718.479	1808827.562	1840948.65	6.698030712
Tanzania	TZA	9439780.878	9884888.675	10352073.22	10841897.15	11354657.64	20.28518232
Thailand	THA	21300453.03	21707739.23	22089792.6	22453142.82	22809373.51	7.083983054
Timor-Leste	TLS	258807.861	272661.15	286253.929	299859.378	314005.538	21.32766632
Togo	TGO	2390839.92	2494828.994	2602104.435	2712614.1	2826147.751	18.20731816
Tonga	TON	24450.96	24865.287	25271.7832	25663.6548	26033.3368	6.471634652
Trinidad and Tobago	TTO	160832.6	165925.2672	171074.2208	176273.8936	181512.126	12.857795
Tunisia	TUN	6548937	6654161.7	6758989.4	6867987	6979342.5	6.572142929
Turkey	TUR	47896761.9	48846780.01	49803148.7	50764313.77	51727577.05	7.998067095
Turkmenistan	TKM	2290827.451	2344358.155	2398104.575	2452207.072	2506907.619	9.432406946
Turks and Caicos Islands	TCA	23580.336					-999999
Tuvalu	TUV	5022.121					-999999
Uganda	UGA	3587406.875	3753909.524	3927733.141	4109061.077	4298076.261	19.81011384
Ukraine	UKR	31937291.7	31750167.15	31589150.52	31446324.36	31304119.44	-1.982548375
United Arab Emirates	ARE	3177177.864	3291220.771	3395997.097	3492867.378	3584148.84	12.80919714
United Kingdom	GBR	54023146.28	54411080.12	54819194.54	55235807.36	55655542.31	3.021660418
United States	USA	238813288	241972393	245250060	248417020	251748760	5.4165629
Uruguay	URY	3041265.16	3052623.186	3064641.332	3077329.996	3090722.712	1.626216374
Uzbekistan	UZB	9603424.423	9730882.92	9881976.84	10056904.34	10222678.68	6.448265012
Vanuatu	VUT	50862.46	53150.24	55497.3906	57905.2216	60378.6184	18.70959132
"Venezuela, RB"	VEN	24530571	25041518.4	25553693.4	26068942	26584454.4	8.372750068
Vietnam	VNM	21940063.2	22615971.84	23298380.64	24001081.43	24717626.45	12.65977782
Virgin Islands (U.S.)	VIR	103243.2	103639.1688	103934.5944	104194.224	104421.61	1.141392363
West Bank and Gaza	PSE	2559483.768	2653762.59	2751508.83	2830925.171	2911116.96	13.73844198
"Yemen, Rep."	YEM	6075846.988	6378783.937	6694153.384	7021917.404	7361744.684	21.16408953
Zambia	ZMB	4108451.2	4223645.623	4344358.738	4470081.57	4599816.861	11.9598758
Zimbabwe	ZWE	4478555.156	4532712.258	4588782.123	4653639.019	4736116.909	5.751001022
