LAUS_CODE,STATE_FIPS,COUNTY_FIPS,COUNTY,MONTH,RATE
CN050810,05,081,"Little River County, AR",Aug-10(p),7.0
CN050830,05,083,"Logan County, AR",Aug-10(p),7.6
CN050850,05,085,"Lonoke County, AR",Aug-10(p),6.8
CN050870,05,087,"Madison County, AR",Aug-10(p),6.2
CN050890,05,089,"Marion County, AR",Aug-10(p),9.9
CN050910,05,091,"Miller County, AR",Aug-10(p),5.5
PA050500,05,093,"Mississippi County, AR",Aug-10(p),11.1
CN050950,05,095,"Monroe County, AR",Aug-10(p),8.0
CN050970,05,097,"Montgomery County, AR",Aug-10(p),6.9
CN050990,05,099,"Nevada County, AR",Aug-10(p),8.2
CN051010,05,101,"Newton County, AR",Aug-10(p),6.8
CN051030,05,103,"Ouachita County, AR",Aug-10(p),8.6
CN051050,05,105,"Perry County, AR",Aug-10(p),7.3
CN051070,05,107,"Phillips County, AR",Aug-10(p),9.8
CN051090,05,109,"Pike County, AR",Aug-10(p),7.3
CN051110,05,111,"Poinsett County, AR",Aug-10(p),8.2
CN051130,05,113,"Polk County, AR",Aug-10(p),7.4
CN051150,05,115,"Pope County, AR",Aug-10(p),7.7
CN051170,05,117,"Prairie County, AR",Aug-10(p),7.7
CN051190,05,119,"Pulaski County, AR",Aug-10(p),7.2
CN051210,05,121,"Randolph County, AR",Aug-10(p),9.1
CN051230,05,123,"St. Francis County, AR",Aug-10(p),9.7
PA050800,05,125,"Saline County, AR",Aug-10(p),6.9
CN051270,05,127,"Scott County, AR",Aug-10(p),6.7
CN051290,05,129,"Searcy County, AR",Aug-10(p),7.7
CN051310,05,131,"Sebastian County, AR",Aug-10(p),6.6
CN051330,05,133,"Sevier County, AR",Aug-10(p),6.2
CN051350,05,135,"Sharp County, AR",Aug-10(p),9.6
CN051370,05,137,"Stone County, AR",Aug-10(p),8.3
CN051390,05,139,"Union County, AR",Aug-10(p),9.5
CN051410,05,141,"Van Buren County, AR",Aug-10(p),9.5
CN051430,05,143,"Washington County, AR",Aug-10(p),6.2
PA050900,05,145,"White County, AR",Aug-10(p),7.9
CN051470,05,147,"Woodruff County, AR",Aug-10(p),8.9
CN051490,05,149,"Yell County, AR",Aug-10(p),6.5
CN060010,06,001,"Alameda County, CA",Aug-10(p),11.7
CN060030,06,003,"Alpine County, CA",Aug-10(p),15.6
CN060050,06,005,"Amador County, CA",Aug-10(p),12.7
PS060150,06,007,"Butte County, CA",Aug-10(p),13.8
CN060090,06,009,"Calaveras County, CA",Aug-10(p),15.4
CN060110,06,011,"Colusa County, CA",Aug-10(p),16.2
CN060130,06,013,"Contra Costa County, CA",Aug-10(p),11.3
CN060150,06,015,"Del Norte County, CA",Aug-10(p),13.6
PA063750,06,017,"El Dorado County, CA",Aug-10(p),11.9
CN060190,06,019,"Fresno County, CA",Aug-10(p),15.4
CN060210,06,021,"Glenn County, CA",Aug-10(p),17.0
PS060300,06,023,"Humboldt County, CA",Aug-10(p),11.0
PS060350,06,025,"Imperial County, CA",Aug-10(p),30.4
CN060270,06,027,"Inyo County, CA",Aug-10(p),9.4
PS060400,06,029,"Kern County, CA",Aug-10(p),15.3
PA062730,06,031,"Kings County, CA",Aug-10(p),14.8
CN060330,06,033,"Lake County, CA",Aug-10(p),16.8
CN060350,06,035,"Lassen County, CA",Aug-10(p),13.6
CN060370,06,037,"Los Angeles County, CA",Aug-10,12.9
PA064200,06,039,"Madera County, CA",Aug-10(p),14.3
PS060550,06,041,"Marin County, CA",Aug-10(p),8.4
CN060430,06,043,"Mariposa County, CA",Aug-10(p),9.7
PA063550,06,045,"Mendocino County, CA",Aug-10(p),10.8
PS060600,06,047,"Merced County, CA",Aug-10(p),17.4
CN060490,06,049,"Modoc County, CA",Aug-10(p),13.7
CN060510,06,051,"Mono County, CA",Aug-10(p),10.2
PS060620,06,053,"Monterey County, CA",Aug-10(p),10.5
PA063600,06,055,"Napa County, CA",Aug-10(p),9.4
PA065000,06,057,"Nevada County, CA",Aug-10(p),11.3
PS060670,06,059,"Orange County, CA",Aug-10(p),9.6
PS061500,06,061,"Placer County, CA",Aug-10(p),11.5
CN060630,06,063,"Plumas County, CA",Aug-10(p),15.7
CN060650,06,065,"Riverside County, CA",Aug-10(p),15.3
PS061350,06,067,"Sacramento County, CA",Aug-10(p),12.8
CN060690,06,069,"San Benito County, CA",Aug-10(p),14.8
CN060710,06,071,"San Bernardino County, CA",Aug-10(p),14.2
PS060850,06,073,"San Diego County, CA",Aug-10(p),10.6
PS060900,06,075,"San Francisco County/city, CA",Aug-10(p),9.7
PS061080,06,077,"San Joaquin County, CA",Aug-10(p),16.6
CN060790,06,079,"San Luis Obispo County, CA",Aug-10(p),10.3
PS061000,06,081,"San Mateo County, CA",Aug-10(p),9.1
PS061010,06,083,"Santa Barbara County, CA",Aug-10(p),8.9
CN060850,06,085,"Santa Clara County, CA",Aug-10(p),11.1
PS061030,06,087,"Santa Cruz County, CA",Aug-10(p),11.0
PS061450,06,089,"Shasta County, CA",Aug-10(p),15.0
CN060910,06,091,"Sierra County, CA",Aug-10(p),12.6
CN060930,06,093,"Siskiyou County, CA",Aug-10(p),15.4
PS061050,06,095,"Solano County, CA",Aug-10(p),12.0
PS061060,06,097,"Sonoma County, CA",Aug-10(p),10.5
PS061070,06,099,"Stanislaus County, CA",Aug-10(p),16.4
PA065100,06,101,"Sutter County, CA",Aug-10(p),16.7
CN061030,06,103,"Tehama County, CA",Aug-10(p),15.2
CN061050,06,105,"Trinity County, CA",Aug-10(p),16.9
PS061210,06,107,"Tulare County, CA",Aug-10(p),15.9
CN061090,06,109,"Tuolumne County, CA",Aug-10(p),13.2
PS061220,06,111,"Ventura County, CA",Aug-10(p),11.2
CN061130,06,113,"Yolo County, CA",Aug-10(p),11.6
CN061150,06,115,"Yuba County, CA",Aug-10(p),18.9
CN080010,08,001,"Adams County, CO",Aug-10(p),9.1
CN080030,08,003,"Alamosa County, CO",Aug-10(p),7.0
PS080100,08,005,"Arapahoe County, CO",Aug-10(p),8.1
CN080070,08,007,"Archuleta County, CO",Aug-10(p),8.8
CN080090,08,009,"Baca County, CO",Aug-10(p),3.9
CN080110,08,011,"Bent County, CO",Aug-10(p),7.3
CN080130,08,013,"Boulder County, CO",Aug-10(p),6.4
CN080140,08,014,"Broomfield County/city, CO",Aug-10(p),7.1
CN080150,08,015,"Chaffee County, CO",Aug-10(p),6.5
CN080170,08,017,"Cheyenne County, CO",Aug-10(p),3.0
CN080190,08,019,"Clear Creek County, CO",Aug-10(p),7.9
CN080210,08,021,"Conejos County, CO",Aug-10(p),8.3
CN080230,08,023,"Costilla County, CO",Aug-10(p),11.8
CN080250,08,025,"Crowley County, CO",Aug-10(p),8.7
CN080270,08,027,"Custer County, CO",Aug-10(p),5.7
CN080290,08,029,"Delta County, CO",Aug-10(p),8.4
PS080250,08,031,"Denver County/city, CO",Aug-10(p),8.7
CN080330,08,033,"Dolores County, CO",Aug-10(p),14.5
CN080350,08,035,"Douglas County, CO",Aug-10(p),6.5
CN080370,08,037,"Eagle County, CO",Aug-10(p),7.9
CN080390,08,039,"Elbert County, CO",Aug-10(p),7.5
PS080200,08,041,"El Paso County, CO",Aug-10(p),8.7
CN080430,08,043,"Fremont County, CO",Aug-10(p),9.5
CN080450,08,045,"Garfield County, CO",Aug-10(p),8.5
CN080470,08,047,"Gilpin County, CO",Aug-10(p),6.7
CN080490,08,049,"Grand County, CO",Aug-10(p),7.3
CN080510,08,051,"Gunnison County, CO",Aug-10(p),5.5
CN080530,08,053,"Hinsdale County, CO",Aug-10(p),2.9
CN080550,08,055,"Huerfano County, CO",Aug-10(p),10.2
CN080570,08,057,"Jackson County, CO",Aug-10(p),5.7
CN080590,08,059,"Jefferson County, CO",Aug-10(p),7.8
CN080610,08,061,"Kiowa County, CO",Aug-10(p),4.4
CN080630,08,063,"Kit Carson County, CO",Aug-10(p),3.9
CN080650,08,065,"Lake County, CO",Aug-10(p),11.3
CN080670,08,067,"La Plata County, CO",Aug-10(p),6.1
PS080310,08,069,"Larimer County, CO",Aug-10(p),6.5
CN080710,08,071,"Las Animas County, CO",Aug-10(p),8.3
CN080730,08,073,"Lincoln County, CO",Aug-10(p),3.9
CN080750,08,075,"Logan County, CO",Aug-10(p),6.2
PA080250,08,077,"Mesa County, CO",Aug-10(p),9.3
CN080790,08,079,"Mineral County, CO",Aug-10(p),6.0
CN080810,08,081,"Moffat County, CO",Aug-10(p),8.1
CN080830,08,083,"Montezuma County, CO",Aug-10(p),7.7
CN080850,08,085,"Montrose County, CO",Aug-10(p),9.6
CN080870,08,087,"Morgan County, CO",Aug-10(p),6.7
CN080890,08,089,"Otero County, CO",Aug-10(p),7.5
CN080910,08,091,"Ouray County, CO",Aug-10(p),5.9
CN080930,08,093,"Park County, CO",Aug-10(p),7.2
CN080950,08,095,"Phillips County, CO",Aug-10(p),4.0
CN080970,08,097,"Pitkin County, CO",Aug-10(p),6.1
CN080990,08,099,"Prowers County, CO",Aug-10(p),6.0
PS080320,08,101,"Pueblo County, CO",Aug-10(p),9.7
CN081030,08,103,"Rio Blanco County, CO",Aug-10(p),5.5
CN081050,08,105,"Rio Grande County, CO",Aug-10(p),8.3
CN081070,08,107,"Routt County, CO",Aug-10(p),8.3
CN081090,08,109,"Saguache County, CO",Aug-10(p),12.1
CN081110,08,111,"San Juan County, CO",Aug-10(p),9.4
CN081130,08,113,"San Miguel County, CO",Aug-10(p),5.8
CN081150,08,115,"Sedgwick County, CO",Aug-10(p),4.5
CN081170,08,117,"Summit County, CO",Aug-10(p),7.3
CN081190,08,119,"Teller County, CO",Aug-10(p),8.6
CN081210,08,121,"Washington County, CO",Aug-10(p),4.6
PS080330,08,123,"Weld County, CO",Aug-10(p),9.1
CN081250,08,125,"Yuma County, CO",Aug-10(p),3.6
CN090010,09,001,"Fairfield County, CT",Aug-10(p),8.4
CN090030,09,003,"Hartford County, CT",Aug-10(p),9.9
CN090050,09,005,"Litchfield County, CT",Aug-10(p),8.8
CN090070,09,007,"Middlesex County, CT",Aug-10(p),7.6
CN090090,09,009,"New Haven County, CT",Aug-10(p),10.3
CN090110,09,011,"New London County, CT",Aug-10(p),8.8
CN090130,09,013,"Tolland County, CT",Aug-10(p),8.0
CN090150,09,015,"Windham County, CT",Aug-10(p),10.1
CN100010,10,001,"Kent County, DE",Aug-10(p),8.8
CN100030,10,003,"New Castle County, DE",Aug-10(p),8.7
PA100100,10,005,"Sussex County, DE",Aug-10(p),7.6
PS110050,11,001,"District of Columbia",Aug-10,10.0
CN120010,12,001,"Alachua County, FL",Aug-10(p),8.7
CN120030,12,003,"Baker County, FL",Aug-10(p),11.1
PA121150,12,005,"Bay County, FL",Aug-10(p),10.0
CN120070,12,007,"Bradford County, FL",Aug-10(p),10.5
PS120030,12,009,"Brevard County, FL",Aug-10(p),11.9
PS120050,12,011,"Broward County, FL",Aug-10(p),10.7
CN120130,12,013,"Calhoun County, FL",Aug-10(p),9.8
CN120150,12,015,"Charlotte County, FL",Aug-10(p),13.0
PA121550,12,017,"Citrus County, FL",Aug-10(p),14.0
PA121450,12,019,"Clay County, FL",Aug-10(p),10.8
PA121400,12,021,"Collier County, FL",Aug-10(p),13.6
CN120230,12,023,"Columbia County, FL",Aug-10(p),11.0
CN120270,12,027,"DeSoto County, FL",Aug-10(p),13.4
CN120290,12,029,"Dixie County, FL",Aug-10(p),13.6
PA120600,12,031,"Duval County, FL",Aug-10(p),12.7
PS120100,12,033,"Escambia County, FL",Aug-10(p),10.9
CN120350,12,035,"Flagler County, FL",Aug-10(p),16.4
CN120370,12,037,"Franklin County, FL",Aug-10(p),8.9
CN120390,12,039,"Gadsden County, FL",Aug-10(p),11.0
CN120410,12,041,"Gilchrist County, FL",Aug-10(p),10.5
CN120430,12,043,"Glades County, FL",Aug-10(p),13.9
CN120450,12,045,"Gulf County, FL",Aug-10(p),10.1
CN120470,12,047,"Hamilton County, FL",Aug-10(p),12.4
CN120490,12,049,"Hardee County, FL",Aug-10(p),14.6
CN120510,12,051,"Hendry County, FL",Aug-10(p),20.6
CN120530,12,053,"Hernando County, FL",Aug-10(p),15.0
CN120550,12,055,"Highlands County, FL",Aug-10(p),13.6
CN120570,12,057,"Hillsborough County, FL",Aug-10(p),12.4
CN120590,12,059,"Holmes County, FL",Aug-10(p),9.2
PA121600,12,061,"Indian River County, FL",Aug-10(p),16.2
CN120630,12,063,"Jackson County, FL",Aug-10(p),9.0
CN120650,12,065,"Jefferson County, FL",Aug-10(p),9.6
CN120670,12,067,"Lafayette County, FL",Aug-10(p),8.4
PS120640,12,069,"Lake County, FL",Aug-10(p),12.4
PS120170,12,071,"Lee County, FL",Aug-10(p),13.7
CN120730,12,073,"Leon County, FL",Aug-10(p),8.7
CN120750,12,075,"Levy County, FL",Aug-10(p),13.6
CN120770,12,077,"Liberty County, FL",Aug-10(p),7.5
CN120790,12,079,"Madison County, FL",Aug-10(p),12.4
CN120810,12,081,"Manatee County, FL",Aug-10(p),12.8
PS120570,12,083,"Marion County, FL",Aug-10(p),14.4
PA120470,12,085,"Martin County, FL",Aug-10(p),12.6
CN120860,12,086,"Miami-Dade County, FL",Aug-10,14.5
PA120550,12,087,"Monroe County, FL",Aug-10(p),8.5
CN120890,12,089,"Nassau County, FL",Aug-10(p),10.8
PS120370,12,091,"Okaloosa County, FL",Aug-10(p),8.0
CN120930,12,093,"Okeechobee County, FL",Aug-10(p),14.8
PS120400,12,095,"Orange County, FL",Aug-10(p),12.0
CN120970,12,097,"Osceola County, FL",Aug-10(p),12.5
PS120420,12,099,"Palm Beach County, FL",Aug-10(p),12.5
PS120450,12,101,"Pasco County, FL",Aug-10(p),13.3
PS120550,12,103,"Pinellas County, FL",Aug-10(p),12.1
CN121050,12,105,"Polk County, FL",Aug-10(p),13.4
CN121070,12,107,"Putnam County, FL",Aug-10(p),14.2
CN121090,12,109,"St. Johns County, FL",Aug-10(p),9.8
PA121350,12,111,"St. Lucie County, FL",Aug-10(p),15.6
PA121370,12,113,"Santa Rosa County, FL",Aug-10(p),10.7
CN121150,12,115,"Sarasota County, FL",Aug-10(p),12.3
PS120500,12,117,"Seminole County, FL",Aug-10(p),11.2
CN121190,12,119,"Sumter County, FL",Aug-10(p),9.9
CN121210,12,121,"Suwannee County, FL",Aug-10(p),11.1
CN121230,12,123,"Taylor County, FL",Aug-10(p),12.6
CN121250,12,125,"Union County, FL",Aug-10(p),9.4
CN121270,12,127,"Volusia County, FL",Aug-10(p),12.6
CN121290,12,129,"Wakulla County, FL",Aug-10(p),8.6
CN121310,12,131,"Walton County, FL",Aug-10(p),7.8
CN121330,12,133,"Washington County, FL",Aug-10(p),11.4
CN130010,13,001,"Appling County, GA",Aug-10(p),11.5
CN130030,13,003,"Atkinson County, GA",Aug-10(p),13.8
CN130050,13,005,"Bacon County, GA",Aug-10(p),10.5
CN130070,13,007,"Baker County, GA",Aug-10(p),9.8
CN130090,13,009,"Baldwin County, GA",Aug-10(p),15.1
CN130110,13,011,"Banks County, GA",Aug-10(p),7.2
CN130130,13,013,"Barrow County, GA",Aug-10(p),10.3
CN130150,13,015,"Bartow County, GA",Aug-10(p),11.1
CN130170,13,017,"Ben Hill County, GA",Aug-10(p),14.6
CN130190,13,019,"Berrien County, GA",Aug-10(p),12.2
CN130210,13,021,"Bibb County, GA",Aug-10(p),10.9
CN130230,13,023,"Bleckley County, GA",Aug-10(p),12.8
CN130250,13,025,"Brantley County, GA",Aug-10(p),11.9
CN130270,13,027,"Brooks County, GA",Aug-10(p),8.8
CN130290,13,029,"Bryan County, GA",Aug-10(p),8.6
CN130310,13,031,"Bulloch County, GA",Aug-10(p),9.8
CN130330,13,033,"Burke County, GA",Aug-10(p),10.8
CN130350,13,035,"Butts County, GA",Aug-10(p),11.3
CN130370,13,037,"Calhoun County, GA",Aug-10(p),10.4
CN130390,13,039,"Camden County, GA",Aug-10(p),9.9
CN130430,13,043,"Candler County, GA",Aug-10(p),9.7
PA130600,13,045,"Carroll County, GA",Aug-10(p),10.9
CN130470,13,047,"Catoosa County, GA",Aug-10(p),8.0
CN130490,13,049,"Charlton County, GA",Aug-10(p),12.0
PS130450,13,051,"Chatham County, GA",Aug-10(p),9.4
CN130530,13,053,"Chattahoochee County, GA",Aug-10(p),16.7
CN130550,13,055,"Chattooga County, GA",Aug-10(p),13.4
PA130950,13,057,"Cherokee County, GA",Aug-10(p),8.9
PA130550,13,059,"Clarke County, GA",Aug-10(p),7.9
CN130610,13,061,"Clay County, GA",Aug-10(p),9.1
PA131050,13,063,"Clayton County, GA",Aug-10(p),12.5
CN130650,13,065,"Clinch County, GA",Aug-10(p),12.0
PA131100,13,067,"Cobb County, GA",Aug-10(p),9.9
CN130690,13,069,"Coffee County, GA",Aug-10(p),17.4
CN130710,13,071,"Colquitt County, GA",Aug-10(p),9.9
CN130730,13,073,"Columbia County, GA",Aug-10(p),7.4
CN130750,13,075,"Cook County, GA",Aug-10(p),13.1
CN130770,13,077,"Coweta County, GA",Aug-10(p),9.4
CN130790,13,079,"Crawford County, GA",Aug-10(p),10.0
CN130810,13,081,"Crisp County, GA",Aug-10(p),13.6
CN130830,13,083,"Dade County, GA",Aug-10(p),8.4
CN130850,13,085,"Dawson County, GA",Aug-10(p),9.8
CN130870,13,087,"Decatur County, GA",Aug-10(p),14.0
CN130890,13,089,"DeKalb County, GA",Aug-10(p),10.7
CN130910,13,091,"Dodge County, GA",Aug-10(p),12.8
CN130930,13,093,"Dooly County, GA",Aug-10(p),10.8
CN130950,13,095,"Dougherty County, GA",Aug-10(p),12.0
PA131000,13,097,"Douglas County, GA",Aug-10(p),11.0
CN130990,13,099,"Early County, GA",Aug-10(p),9.8
CN131010,13,101,"Echols County, GA",Aug-10(p),6.7
CN131030,13,103,"Effingham County, GA",Aug-10(p),8.0
CN131050,13,105,"Elbert County, GA",Aug-10(p),13.1
CN131070,13,107,"Emanuel County, GA",Aug-10(p),12.0
CN131090,13,109,"Evans County, GA",Aug-10(p),9.3
CN131110,13,111,"Fannin County, GA",Aug-10(p),10.5
