Warehouse Number	Address	City	State	Zip Code	Phone Number	Opening Date	Latitude 	Longitude
462	951 Palomar Airport Road	Carlsbad	California	92011-1110	(760) 929-0963	10/4/92	33.121825	-117.316232
66	7619 North Division Street	Spokane	Washington	99208-5613	(509) 466-9668	10/16/92	47.727333	-117.411637
452	12350 Carmel Mountain Road	San Diego	California	92128-4697	(858) 675-0248	10/23/92	32.987666	-117.075735
226	1250 Old Country Road	Westbury	New York	11590-5641	(516) 683-8300	10/24/92	40.745925	-73.598311
453	5101 Business Center Drive	Fairfield	California	94585-1624	(707) 864-3816	10/31/92	38.216167	-122.144283
63	4125 DeBarr Road	Anchorage	Alaska	99508-3115	(907) 269-9510	11/5/92	61.209959	-149.803451
227	7373 Boston Boulevard	Springfield	Virginia	22153-2805	(703) 912-1203	11/7/92	38.739149	-77.199815
454	115 Technology West Drive	Irvine	California	92618-2408	(949) 453-0435	11/14/92	33.661029	-117.743726
469	8125 Fletcher Parkway	La Mesa	California	91942-2934	(619) 667-8504	11/19/92	32.775455	-117.021689
143	1000 North Rengstorff Avenue	Mountain View	California	94043-1716	(650) 988-1841	12/9/92	37.421165	-122.093806
182	14585 Biscayne Boulevard	North Miami Beach	Florida	33181-1209	(305) 944-8711	12/12/92	25.910043	-80.157258
181	16580 NW 59th Avenue	Miami	Florida	33014-5611	(305) 825-9818	12/12/92	25.92298	-80.297432
312	1718 Boston Post Road	Milford	Connecticut	06460-2718	(203) 882-8881	4/22/93	41.24892	-73.023836
145	731 Pole Line Road	Twin Falls	Idaho	83301-3036	(208) 736-1550	7/20/93	42.592077	-114.46631
103	301 Fifth Street	Clarkston	Washington	99403-1860	(509) 758-1800	7/29/93	46.422715	-117.04411
310	605 Rockaway Turnpike	Lawrence	New York	11559-1029	(516) 371-2017	8/12/93	40.631301	-73.738599
230	125 Beacon Drive	Holbrook	New York	11741-4309	(631) 244-0292	8/14/93	40.77439	-73.051809
101	2500 Northeast Highway 20	Bend	Oregon	97701-6277	(541) 383-2299	8/17/93	44.055074	-121.267478
314	218 Lower Mountain View Drive	Colchester	Vermont	05446-5830	(802) 655-4356	8/25/93	44.505697	-73.177127
313	3600 East Main Street	Waterbury	Connecticut	06705-3851	(203) 596-9967	10/13/93	41.542686	-72.970623
147	1001 Metro Center Boulevard	Foster City	California	94404-2177	(650) 286-0739	11/1/93	37.560999	-122.274638
107	5225 Commercial Boulevard	Juneau	Alaska	99801-7210	(907) 780-6740	11/4/93	58.357995	-134.482846
459	1345 North Montebello Boulevard	Montebello	California	90640-2585	(323) 890-1904	11/6/93	34.032386	-118.096374
315	315 Route 15	Wharton	New Jersey	07885-1224	(973) 659-2000	11/9/93	40.905708	-74.569428
308	71 Second Avenue	Waltham	Massachusetts	02451-1107	(781) 622-3883	11/10/93	42.395813	-71.264451
146	2800 Independence Drive	Livermore	California	94550-7628	(925) 443-6306	11/17/93	37.702424	-121.810955
144	450 10th Street	San Francisco	California	94103-4304	(415) 626-4388	11/18/93	37.770893	-122.41051
140	73-5600 Maiau Street	Kailua-Kona (Hawaii)	Hawaii	96740-2630	(808) 331-4800	11/22/93	19.68068	-155.970539
124	1755 Hacienda Drive	Vista	California	92081-4546	(760) 631-7255	11/24/93	33.187411	-117.276257
142	1445 R Street	Merced	California	95340-5850	(209) 725-5020	12/2/93	37.301965	-120.494167
460	895 East H Street	Chula Vista	California	91910-7807	(619) 656-0826	1/14/94	32.636082	-117.021628
464	7981 East Stockton Boulevard	Sacramento	California	95823-9606	(916) 682-3569	2/1/94	38.46757	-121.415189
233	1200 South Fern Street	Arlington	Virginia	22202-2862	(703) 413-2324	3/1/94	38.861636	-77.056645
148	2201 Senter Road	San Jose	California	95112-2627	(408) 275-0199	6/23/94	37.31117	-121.851166
106	1175 North 205th Street	Seattle	Washington	98133-3206	(206) 546-0480	6/30/94	47.777699	-122.345098
231	80 South River Street	Hackensack	New Jersey	07601-7110	(201) 487-5471	7/1/94	40.876576	-74.040934
149	220 Sylvania Avenue	Santa Cruz	California	95060-2161	(831) 469-0961	8/18/94	36.985153	-122.034642
126	11000 Garden Grove Boulevard	Garden Grove	California	92843-1206	(714) 638-6308	9/1/94	33.773942	-117.940854
110	1801 10th Avenue NW	Issaquah	Washington	98027-5384	(425) 313-0965	9/9/94	47.550821	-122.050053
111	7855 SW Dartmouth Ave	Tigard	Oregon	97223-8401	(503) 639-0811	10/25/94	45.436253	-122.755998
125	1006 West Wabash Avenue	Eureka	California	95501-2121	(707) 441-8750	11/3/94	40.791618	-124.179356
237	625 Broadhollow Road	Melville	New York	11747-5007	(631) 293-8707	11/11/94	40.757788	-73.421855
465	4502 East Oak Street	Phoenix	Arizona	85008-2411	(602) 808-0101	12/1/94	33.473027	-111.984675
238	1830 Reservoir Street	Harrisonburg	Virginia	22801-8742	(540) 432-8989	5/4/95	38.427968	-78.855609
239	251 Front Royal Pike	Winchester	Virginia	22602-7319	(540) 722-7420	5/23/95	39.157818	-78.158418
119	540 Haleakala Highway	Kahului (Maui)	Hawaii	96732-2302	(808) 877-5248	5/26/95	20.887769	-156.450074
112	375 Highline Drive South	East Wenatchee	Washington	98802-5344	(509) 886-0593	6/23/95	47.401048	-120.281529
129	1601 Coleman Avenue	Santa Clara	California	95050-3100	(408) 567-9000	8/17/95	37.357603	-121.93734
240	10 Garret Place	Commack	New York	11725-5421	(631) 462-3900	8/25/95	40.806725	-73.287038
29	6750 Stanford Ranch Road	Roseville	California	95678-1907	(916) 789-1485	11/10/95	38.781704	-121.265819
113	1818 South 300 West	Salt Lake City	Utah	84115-1805	(801) 485-9715	12/2/95	40.730929	-111.899854
316	2975 Richmond Avenue	Staten Island	New York	10314-5851	(718) 982-9525	12/15/95	40.572586	-74.169714
118	1900 Davis Street	San Leandro	California	94577-1209	(510) 562-6708	1/25/96	37.718264	-122.18078
317	1875 Hempstead Road	Lancaster	Pennsylvania	17601-5671	(717) 396-8460	5/24/96	40.051412	-76.256757
466	3911 Highway 69	Prescott	Arizona	86301-6717	(928) 541-2203	6/27/96	34.548389	-112.399255
117	5700 Lindero Canyon Road	Westlake Village	California	91362-4063	(818) 597-3901	8/8/96	34.153649	-118.797152
114	10200 19th Avenue SE	Everett	Washington	98208-4256	(425) 379-7451	8/22/96	47.905194	-122.207193
183	741 Orange Avenue	Altamonte Springs	Florida	32714-3031	(407) 786-7802	9/20/96	28.661677	-81.415355
115	19105 Highway 99	Lynnwood	Washington	98036-5228	(425) 640-7700	9/30/96	47.825577	-122.311067
470	5301 Almaden Expressway	San Jose	California	95118-3603	(408) 723-0964	10/30/96	37.254105	-121.875958
116	1420 Renaissance Boulevard NE	Albuquerque	New Mexico	87107-6811	(505) 345-9411	11/8/96	35.137247	-106.614491
188	6350 Peachtree Dunwoody Rd N.E.	Atlanta	Georgia	30328-4527	(770) 352-8660	11/13/96	33.928213	-84.352148
187	3980 Venture Drive	Duluth	Georgia	30096-5077	(770) 622-1330	11/13/96	33.949619	-84.142316
130	2901 Los Feliz Boulevard	Los Angeles	California	90039-1502	(323) 644-5201	11/15/96	34.126467	-118.263035
243	32-50 Vernon Boulevard	Long Island City	New York	11106-4927	(718) 267-3680	11/20/96	40.767484	-73.937002
318	976 3rd Avenue	Brooklyn	New York	11232-2400	(718) 965-7603	11/21/96	40.654872	-74.00756
97	13130 SE 84th Avenue	Clackamas	Oregon	97015-9733	(503) 794-5500	2/28/97	45.428407	-122.576749
241	1 Industrial Lane	New Rochelle	New York	10805-1203	(914) 235-2233	7/22/97	40.898331	-73.793974
96	2505 Catron Street	Bozeman	Montana	59718-7993	(406) 585-0383	8/28/97	45.712363	-111.07094
472	1339 North Davis Road	Salinas	California	93907-1988	(831) 424-4242	8/29/97	36.702667	-121.667128
189	645 Barrett Parkway	Kennesaw	Georgia	30144-4922	(770) 794-1767	9/13/97	34.007139	-84.571921
245	201 Allendale Road	King of Prussia	Pennsylvania	19406-1634	(610) 337-6601	10/11/97	40.091081	-75.384748
244	156 SR-10 West	East Hanover	New Jersey	07936-2107	(973) 602-2000	10/25/97	40.809582	-74.380725
473	13111 Peyton Drive	Chino Hills	California	91709-6002	(909) 464-2900	11/13/97	34.016404	-117.745675
468	8686 Park Meadows Center Drive	Littleton	Colorado	80124-5129	(303) 708-0012	11/20/97	39.560526	-104.878803
823	22330 Hathaway Avenue	Hayward	California	94541-4861	(510) 259-6600	12/11/97	37.66744	-122.104099
319	400 Commercial Circle	Dedham	Massachusetts	02026-2635	(781) 251-9975	3/19/98	42.230514	-71.174234
391	20000 Haggerty Rd	Livonia	Michigan	48152-1011	(734) 464-6399	5/1/98	42.43392	-83.433469
390	13700 Middlebelt Road	Livonia	Michigan	48150-2215	(734) 427-0563	5/1/98	42.382483	-83.33346
393	30550 Stephenson Highway	Madison Heights	Michigan	48071-1611	(248) 616-0048	5/1/98	42.516911	-83.118907
394	27118 Gratiot Avenue	Roseville	Michigan	48066-2915	(586) 447-0191	5/1/98	42.495813	-82.93712
476	2751 Sky Park Drive	Torrance	California	90505-5351	(310) 891-1020	9/24/98	33.804532	-118.335322
246	900 Center Boulevard	Newark	Delaware	19702-3221	(302) 894-0511	10/1/98	39.675355	-75.649503
388	1901 West 22nd Street	Oak Brook	Illinois	60523-1785	(630) 928-0235	11/17/98	41.846382	-87.963099
387	1375 North Meacham Rd	Schaumburg	Illinois	60173-4805	(847) 969-0790	11/17/98	42.052922	-88.044838
320	1055 Hudson St	Union	New Jersey	07083-6809	(908) 810-1458	11/19/98	40.692763	-74.289724
478	1099 East Hospitality Lane	San Bernardino	California	92408-2836	(909) 478-3445	11/22/98	34.068725	-117.261947
474	7095 Market Place Drive	Goleta	California	93117-5905	(805) 685-3199	11/24/98	34.42962	-119.873689
480	600 Marshall Road	Superior	Colorado	80027-9730	(720) 587-1000	4/15/99	39.956253	-105.170194
247	12121 Jefferson Avenue	Newport News	Virginia	23602-6916	(757) 746-2003	5/13/99	37.106101	-76.494961
479	13463 Washington Boulevard	Marina del Rey	California	90292-5658	(310) 754-2003	6/24/99	33.991326	-118.446364
481	1415 North Arizona Avenue	Gilbert	Arizona	85233-1616	(480) 293-0053	7/1/99	33.375356	-111.842161
248	740 Upper State Road	North Wales	Pennsylvania	19454-1403	(215) 353-4153	7/10/99	40.238003	-75.236919
482	4801 Central Avenue	Richmond	California	94804-5878	(510) 898-2003	7/27/99	37.897246	-122.321344
322	325 Promenade Blvd.	Bridgewater	New Jersey	08807-3457	(732) 584-1003	8/24/99	40.564115	-74.555633
184	2101 Water Bridge Blvd	Orlando	Florida	32837-9283	(407) 393-1003	8/25/99	28.403203	-81.405062
386	98 Seaboard Lane	Brentwood	Tennessee	37027-2930	(615) 493-1003	8/27/99	35.963419	-86.818468
186	1700 Mount Zion Road	Morrow	Georgia	30260-3014	(678) 201-0003	9/29/99	33.57141	-84.335858
351	7171 Cypress Lake Drive	Fort Myers	Florida	33907-6521	(239) 415-3806	9/30/99	26.546005	-81.875282
321	20 Stew Leonard Drive	Yonkers	New York	10710-7202	(914) 595-1003	10/29/99	40.973733	-73.863199
353	3775 Hacks Cross Road	Memphis	Tennessee	38125-2302	(901) 214-0054	11/18/99	35.046012	-89.796084
352	2431 North Germantown Parkway	Cordova	Tennessee	38016-4494	(901) 214-0003	11/18/99	35.192179	-89.79275
483	650 Gateway Center Drive	San Diego	California	92102-4594	(619) 358-2303	11/22/99	32.71236	-117.114354
484	648 East 800 South	Orem	Utah	84097-6528	(801) 851-5003	11/23/99	40.282201	-111.679691
486	8505A W. Gage Blvd	Kennewick	Washington	99336-8120	(509) 737-8861	11/24/99	46.226998	-119.235272
354	6275 Naples Boulevard	Naples	Florida	34109-2030	(239) 596-6404	12/7/99	26.219107	-81.773686
185	3333 University Boulevard	Winter Park	Florida	32792-7428	(407) 681-2119	12/8/99	28.597577	-81.301403
384	9691 Waterstone Blvd	Cincinnati	Ohio	45249-8220	(513) 774-0024	2/16/00	39.296319	-84.301904
383	7311 North Melvina Ave	Niles	Illinois	60714-3905	(847) 972-3003	6/1/00	42.013786	-87.781621
487	11100 S. Auto Mall Drive	Sandy	Utah	84070-4171	(801) 790-0003	6/2/00	40.550855	-111.89371
490	19001 N. 27th Ave	Phoenix	Arizona	85027-5036	(623) 293-4403	6/22/00	33.658689	-112.117178
488	2345 Fenton Pkwy	San Diego	California	92108-4743	(619) 358-4003	6/29/00	32.780284	-117.13018
485	94-1231 Ka Uka Blvd	Waipahu (Oahu)	Hawaii	96797-4495	(808) 678-6103	7/20/00	21.427172	-158.00155
662	1725 S. Burlington Blvd	Burlington	Washington	98233-3223	(360) 757-5703	7/27/00	48.453175	-122.335701
491	26610 Ynez Road	Temecula	California	92591	(951) 719-2000	8/31/00	33.520186	-117.156275
381	7300 S. Cicero Ave	Bedford Park	Illinois	60629-5817	(708) 552-9010	9/8/00	41.760071	-87.741809
489	5300 Overton Ridge Blvd	Fort Worth	Texas	76132-3301	(817) 210-0003	9/21/00	32.676352	-97.408266
664	3800 N. Central Expressway	Plano	Texas	75074-2221	(972) 244-0000	9/21/00	33.044072	-96.700355
95	2219 South 37th Street	Tacoma	Washington	98409-7473	(253) 671-6000	10/12/00	47.223413	-122.467227
667	500 Eubank Blvd SE	Albuquerque	New Mexico	87123-3338	(505) 332-6603	10/24/00	35.068043	-106.532446
475	1600 El Camino Real	South San Francisco	California	94080-1206	(650) 757-3003	10/25/00	37.664858	-122.449199
356	1205 N. Memorial Parkway	Huntsville	Alabama	35801-5930	(256) 519-2223	11/2/00	34.742669	-86.601244
127	700 Old Clear Creek Road	Carson City	Nevada	89705-6853	(775) 881-2503	11/10/00	39.115947	-119.777222
660	1201 39th SW	Puyallup	Washington	98373-3803	(253) 445-7543	11/14/00	47.154983	-122.30702
672	835 North 3050 East	St. George	Utah	84790-9041	(435) 256-0003	11/15/00	37.125031	-113.521696
377	5801 16th Street West	St. Louis Park	Minnesota	55416-1446	(763) 582-9603	11/16/00	44.967468	-93.353326
249	1510 North Pointe Drive	Durham	North Carolina	27705-3405	(919) 220-2770	11/16/00	36.028378	-78.915437
665	1646 W. Montebello	Phoenix	Arizona	85015-2557	(602) 293-4524	11/21/00	33.519729	-112.094211
376	400 Brown Road	Auburn Hills	Michigan	48326-1305	(248) 648-0003	11/22/00	42.707191	-83.297431
358	10921 Causeway Blvd.	Brandon	Florida	33511-2903	(813) 952-0103	11/28/00	27.922846	-82.331124
357	4901 Gate Parkway	Jacksonville	Florida	32246-4405	(904) 997-7003	11/29/00	30.25236	-81.535804
671	14501 Hindry Avenue	Hawthorne	California	90250-6748	(310) 727-0403	12/5/00	33.90001	-118.372202
379	1100 East Kemper Road	Springdale	Ohio	45246-3321	(513) 346-7943	12/6/00	39.28649	-84.451219
375	241 East Linwood Blvd	Kansas City	Missouri	64111-1119	(816) 216-0003	1/12/01	39.068216	-94.582549
670	5601 East Sprague Avenue	Spokane	Washington	99212-0826	(509) 842-0003	2/1/01	47.657268	-117.330015
378	680 S. Rand Road	Lake Zurich	Illinois	60047-3409	(847) 540-3050	2/21/01	42.185105	-88.092255
360	3050 Ashley Town Center	Charleston	South Carolina	29414-5664	(843) 460-2000	4/18/01	32.794571	-80.036554
669	2601 E. State Hwy 114	Southlake	Texas	76092-6668	(817) 749-2803	4/27/01	32.942661	-97.110469
668	600 West Arbrook Blvd	Arlington	Texas	76014-3702	(817) 417-1603	4/27/01	32.684559	-97.113638
380	2746 N. Clybourn Avenue	Chicago	Illinois	60614-1006	(773) 360-2053	5/2/01	41.930943	-87.676806
382	200 Costco Way	St. Peters	Missouri	63376-4385	(636) 970-4004	5/8/01	38.796488	-90.608341
324	779 Connecticut Ave	Norwalk	Connecticut	06854-1615	(203) 822-2000	5/9/01	41.092622	-73.452316
675	12405 N. Gessner Rd.	Houston	Texas	77064-1170	(832) 912-2353	6/7/01	29.954002	-95.546737
680	1150 Bunker Hill Road	Houston	Texas	77055-6208	(713) 576-2050	6/7/01	29.788435	-95.531183
359	500 Tyvola Road	Charlotte	North Carolina	28217-3504	(704) 501-2403	6/21/01	35.162874	-80.887396
674	17550 N. 79th Ave.	Glendale	Arizona	85308-8711	(623) 776-4003	8/16/01	33.645081	-112.230561
327	5125 Jonestown Road Suite 221	Harrisburg	Pennsylvania	17112-2983	(717) 412-2050	8/28/01	40.312316	-76.800169
681	10401 Research Blvd	Austin	Texas	78759-5712	(512) 634-2250	8/30/01	30.396054	-97.745655
673	791 Marks Street	Henderson	Nevada	89014-8601	(702) 352-2000	8/31/01	36.070122	-115.036699
676	5195 Wadsworth Blvd.	Arvada	Colorado	80002-4617	(303) 463-3603	9/19/01	39.790939	-105.081649
684	1701 Dallas Pkwy	Plano	Texas	75093-4520	(972) 246-2203	9/27/01	33.023078	-96.830359
361	1085 Hanes Mall Blvd.	Winston Salem	North Carolina	27103-1310	(336) 970-2300	9/28/01	36.067453	-80.323023
677	1051 Burbank Blvd.	Burbank	California	91506-1421	(818) 557-3783	10/1/01	34.183768	-118.323671
685	801 S. Pavilion Center Drive	Las Vegas	Nevada	89144-4566	(702) 352-2053	10/4/01	36.165778	-115.332924
682	3130 Killdeer Ave	Albany	Oregon	97321-5325	(541) 918-7040	10/12/01	44.639019	-123.065464
374	45460 Market Street	Shelby Township	Michigan	48315-6204	(586) 580-2003	10/17/01	42.63044	-82.980614
373	19040 E. Valley View Pkwy	Independence	Missouri	64055-7004	(816) 200-2003	10/18/01	39.035979	-94.356003
372	12547 Riverdale Blvd.	Coon Rapids	Minnesota	55448-6708	(763) 712-7763	10/23/01	45.198562	-93.349994
370	1310 E. 79th Ave	Merrillville	Indiana	46410-5768	(219) 641-6403	10/24/01	41.473655	-87.321449
689	5611 Utsa Blvd	San Antonio	Texas	78249-1619	(210) 200-2023	11/3/01	29.575246	-98.596546
323	2210 Route 27 North	Edison	New Jersey	08817-3314	(732) 491-2023	11/16/01	40.531706	-74.379424
827	3801 N. 33rd Avenue	Phoenix	Arizona	85017-4508	(480) 293-2123	11/20/01	33.49178	-112.129797
679	17550 Castleton St.	City of Industry	California	91748-1701	(626) 839-3053	11/21/01	33.995244	-117.922243
349	9350 Marshall Drive	Lenexa	Kansas	66215-3845	(913) 227-3703	11/27/01	38.958674	-94.73147
328	1050 Cranberry Square Drive	Cranberry Township	Pennsylvania	16066-6142	(724) 778-6303	11/28/01	40.689848	-80.106352
